我	wo
寧願	ning yuan
無端	wu duan
再加上	zai jia shang
馬騮	ma liu
謝	xie
分開	fen kai
研究	yan jiu
掃	sao
窮	qiong
伯伯	bo bo
唔𠶧	wu dian
大大	da da
年紀	nian ji
三年	san nian
聞	wen
期間	qi jian
同意	tong yi
頸	jing
先知	xian zhi
輕	qing
食物	shi wu
畢	bi
店	dian
所有人	suo you ren
突然間	tu ran jian
當初	dang chu
捉住	zhuo zhu
商量	shang liang
養	yang
蛋	dan
合作	he zuo
慢	man
堅持	jian chi
總係	zong xi
民主	min zhu
鬆	song
銀包	yin bao
夠膽	gou dan
塞	sai
打倒	da dao
辭職	ci zhi
會見	hui jian
對眼	dui yan
十一	shi yi
高潮	gao chao
戰鬥	zhan dou
當日	dang ri
惡	e
噁	e
早晨	zao chen
願意	yuan yi
麻	ma
女性	nv xing
直	zhi
參加	can jia
辮	bian
食咗	shi zuo
癲	dian
較	jiao
過程	guo cheng
叉	cha
表達	biao da
秦	qin
程度	cheng du
牛奶	niu nai
泳池	yong chi
時時	shi shi
道歉	dao qian
走啦	zou la
走入	zou ru
喜歡	xi huan
國	guo
阿叔	a shu
憎	zeng
姊妹	zi mei
卡	ka
老鼠	lao shu
後生仔	hou sheng zai
十八	shi ba
羅	luo
捱	ai
戶口	hu kou
圈	quan
酒吧	jiu ba
善	shan
鋪頭	pu tou
部分	bu fen
保持	bao chi
師	shi
幾百	ji bai
接觸	jie chu
一面	yi mian
嘆	tan
社工	she gong
一方	yi fang
整個	zheng ge
止	zhi
打扮	da ban
有趣	you qu
撲	pu
苦	ku
無端端	wu duan duan
簡直	jian zhi
可憐	ke lian
尊重	zun zhong
常德	chang de
若果	ruo guo
伸	shen
盡量	jin liang
聖誕	sheng dan
教育	jiao yu
歷史	li shi
阻	zu
首領	shou ling
經常	jing chang
不得	bu de
空間	kong jian
對手	dui shou
未來	wei lai
枕頭	zhen tou
四十	si shi
大門	da men
法律	fa lv
放過	fang guo
出手	chu shou
入到	ru dao
客人	ke ren
示意	shi yi
理解	li jie
奮	fen
隔	ge
格	ge
朝	chao
團	tuan
嗰時	ge shi
地面	di mian
玉	yu
舌	she
蝕	shi
斬	zhan
進行	jin xing
上網	shang wang
顯得	xian de
證明	zheng ming
情侶	qing lv
要好	yao hao
含	han
影相	ying xiang
好話	hao hua
抄	chao
小器	xiao qi
版	ban
推開	tui kai
報告	bao gao
傑	jie
每個人	mei ge ren
嬸	shen
有意	you yi
出門	chu men
半個	ban ge
小丑	xiao chou
早啲	zao di
聯絡	lian luo
新聞	xin wen
二日	er ri
銀	yin
靜靜	jing jing
職	zhi
不安	bu an
運	yun
該	gai
辦	ban
文字	wen zi
自信	zi xin
反對	fan dui
會議	hui yi
顏色	yan se
律師	lv shi
如此	ru ci
會話	hui hua
擁有	yong you
幾點	ji dian
欣賞	xin shang
傷心	shang xin
水晶	shui jing
救命	jiu ming
一於	yi yu
等陣	deng zhen
偏偏	pian pian
信心	xin xin
你等	ni deng
握	wo
魔王	mo wang
失	shi
失望	shi wang
見面	jian mian
價值	jia zhi
式	shi
大廈	da sha
上下	shang xia
剛才	gang cai
海	hai
幾大	ji da
南	nan
刻	ke
文員	wen yuan
掙扎	zheng zha
初初	chu chu
心口	xin kou
首	shou
斷	duan
經	jing
唓	che
夢想	meng xiang
寄	ji
出名	chu ming
懶	lan
食嘢	shi ye
星期日	xing qi ri
印	yin
立法	li fa
劉	liu
合理	he li
漸漸	jian jian
娘	niang
一排	yi pai
耳	er
樣樣	yang yang
左面	zuo mian
反抗	fan kang
肥佬	fei lao
將軍	jiang jun
拉住	la zhu
想點	xiang dian
齊	qi
棒	bang
主角	zhu jiao
罷	ba
勸	quan
行過	xing guo
散	san
忠	zhong
房間	fang jian
股票	gu piao
桶	tong
交叉	jiao cha
做好	zuo hao
睏覺	kun jue
瞓覺	fen jue
腳步	jiao bu
國際	guo ji
胸	xiong
本人	ben ren
非常之	fei chang zhi
蝦	xia
賭	du
司機	si ji
慣	guan
冷氣	leng qi
正話	zheng hua
大小	da xiao
輪	lun
價	jia
生果	sheng guo
文章	wen zhang
好在	hao zai
仁	ren
形容	xing rong
以上	yi shang
下來	xia lai
範圍	fan wei
主要	zhu yao
一堆	yi dui
公	gong
搞錯	gao cuo
注意	zhu yi
湖	hu
唔似	wu shi
睇過	di guo
陌生	mo sheng
一口	yi kou
聽過	ting guo
毛	mao
第二日	di er ri
經驗	jing yan
誰	shui
傷	shang
雪	xue
奇	qi
星星	xing xing
疑惑	yi huo
沉默	chen mo
衰人	shuai ren
傳統	chuan tong
量	liang
戀	lian
失敗	shi bai
輕鬆	qing song
好得	hao de
飲酒	yin jiu
一番	yi fan
過份	guo fen
提子	ti zi
有可能	you ke neng
技能	ji neng
幾多錢	ji duo qian
傻仔	sha zai
訊息	xun xi
好靚	hao jing
我等	wo deng
晚飯	wan fan
確係	que xi
避開	bi kai
契爺	qi ye
表示	biao shi
類	lei
一起	yi qi
訓練	xun lian
議員	yi yuan
微	wei
之一	zhi yi
勇氣	yong qi
行去	xing qu
藝術	yi shu
效果	xiao guo
認同	ren tong
黎明	li ming
工人	gong ren
消防員	xiao fang yuan
身材	shen cai
招	zhao
生物	sheng wu
唔得閒	wu de xian
做出	zuo chu
凡	fan
故意	gu yi
們	men
討論	tao lun
老人家	lao ren jia
牙膏	ya gao
幾咁	ji gan
馬戲	ma xi
使唔使	shi wu shi
有問題	you wen ti
收埋	shou mai
森林	sen lin
廣告	guang gao
圖	tu
請問	qing wen
擒	qin
冚	kan
神經	shen jing
女生	nv sheng
少年	shao nian
利用	li yong
儘快	jin kuai
做乜嘢	zuo mie ye
護士	hu shi
露出	lu chu
狗仔	gou zai
身後	shen hou
調	diao
造	zao
上身	shang shen
醫院	yi yuan
大人	da ren
意義	yi yi
綠	lv
概念	gai nian
香蕉	xiang jiao
腿	tui
滿意	man yi
碌	lu
行李	xing li
順便	shun bian
大把	da ba
堆	dui
全無	quan wu
橙汁	cheng zhi
堯	yao
只好	zhi hao
回頭	hui tou
非	fei
英	ying
講笑	jiang xiao
印象	yin xiang
賊	zei
初	chu
滑	hua
員工	yuan gong
睇落	di luo
形	xing
內容	nei rong
擘	bai
捐	juan
殺人	sha ren
出世	chu shi
班主任	ban zhu ren
之類	zhi lei
圖書館	tu shu guan
去過	qu guo
睇睇	di di
婆	po
好笑	hao xiao
拖鞋	tuo xie
有一日	you yi ri
算啦	suan la
畢竟	bi jing
亂講	luan jiang
打機	da ji
姑娘	gu niang
找	zhao
大班	da ban
呢處	ne chu
動	dong
吩咐	fen fu
籃球	lan qiu
界	jie
錶	biao
入咗	ru zuo
扭	niu
雪櫃	xue gui
中國人	zhong guo ren
葡萄	pu tao
就快	jiu kuai
右面	you mian
去飲	qu yin
廟	miao
一萬	yi wan
唔准	wu zhun
搖	yao
有所	you suo
強姦	qiang jian
一方面	yi fang mian
天使	tian shi
手袋	shou dai
石頭	shi tou
利益	li yi
地球	di qiu
一把	yi ba
上位	shang wei
瘦	shou
利是	li shi
馬路	ma lu
多事	duo shi
咪係	mi xi
多嘢	duo ye
擰轉	ning zhuan
未婚	wei hun
放開	fang kai
猶豫	you yu
擋	dang
科	ke
投	tou
粥	zhou
滿	man
何況	he kuang
狂	kuang
湊	cou
馮	feng
氹	dang
講法	jiang fa
年代	nian dai
完美	wan mei
直至	zhi zhi
識講	shi jiang
使用	shi yong
碼頭	ma tou
資格	zi ge
韻	yun
諗法	shen fa
醉	zui
思考	si kao
賴	lai
雀仔	que zai
皮膚	pi fu
老友	lao you
應付	ying fu
眼光	yan guang
唔出聲	wu chu sheng
突然之間	tu ran zhi jian
交換	jiao huan
話我知	hua wo zhi
宅	zhai
湯	tang
好感	hao gan
財	cai
足	zu
死都	si dou
任務	ren wu
專心	zhuan xin
欠	qian
每年	mei nian
吞	tun
事件	shi jian
後邊	hou bian
園	yuan
好容易	hao rong yi
柒	qi
抖	dou
隨即	sui ji
八十	ba shi
恐懼	kong ju
有用	you yong
幾千	ji qian
師奶	shi nai
場面	chang mian
年青	nian qing
矮	ai
日見	ri jian
兔仔	tu zai
得罪	de zui
飲杯	yin bei
唔知幾	wu zhi ji
傷口	shang kou
劈	pi
自覺	zi jue
答應	da ying
有陣時	you zhen shi
吩	fen
咐	fu
牌	pai
票	piao
相處	xiang chu
案	an
通	tong
餸	song
匙羹	shi geng
揮手	hui shou
唱歌	chang ge
坡	po
噃	fan
啵	bo
做完	zuo wan
劫	jie
有成	you cheng
無數	wu shu
手提	shou ti
此	ci
做生意	zuo sheng yi
溫暖	wen nuan
昇職	sheng zhi
破壞	po huai
未見	wei jian
補習	bu xi
狼	lang
即係話	ji xi hua
滴	di
禮貌	li mao
中環	zhong huan
樹林	shu lin
支票	zhi piao
餅	bing
心理	xin li
拳頭	quan tou
石	shi
惜	xi
維持	wei chi
星期六	xing qi liu
要點	yao dian
走向	zou xiang
講返	jiang fan
尤其	you qi
牛	niu
珍	zhen
掣	che
雞蛋	ji dan
服	fu
命	ming
長老	zhang lao
放鬆	fang song
交通	jiao tong
敏感	min gan
健康	jian kang
衝動	chong dong
分析	fen xi
唔見咗	wu jian zuo
撳	qin
示威	shi wei
幼稚園	you zhi yuan
透過	tou guo
你點	ni dian
手術	shou shu
五百	wu bai
巴	ba
無可	wu ke
調查	diao cha
人大	ren da
正經	zheng jing
合	he
浪費	lang fei
引	yin
衰仔	shuai zai
差啲	cha di
想見	xiang jian
一家人	yi jia ren
物	wu
邊處	bian chu
大髀	da bi
臨	lin
補	bu
喝	he
直頭	zhi tou
梁	liang
藍	lan
溝通	gou tong
家長	jia zhang
此時	ci shi
盆	pen
針	zhen
英雄	ying xiong
發達	fa da
入口	ru kou
落地	luo di
吱	zhi
廢	fei
原則	yuan ze
下晝	xia zhou
清潔	qing jie
小事	xiao shi
球場	qiu chang
高興	gao xing
弊	bi
必要	bi yao
車站	che zhan
喺處	xi chu
呻吟	shen yin
遞	di
狀	zhuang
歐	ou
超人	chao ren
大小姐	da xiao jie
娶	qu
角度	jiao du
好嘢	hao ye
領	ling
月亮	yue liang
故仔	gu zai
手段	shou duan
吔	ye
講大話	jiang da hua
青蛙	qing wa
迷宮	mi gong
太過	tai guo
瘋	feng
人情	ren qing
嘻嘻	xi xi
花園	hua yuan
好多次	hao duo ci
晏晝	yan zhou
襯	chen
出賣	chu mai
難得	nan de
丈夫	zhang fu
抵	di
禮堂	li tang
共	gong
停止	ting zhi
譬如話	pi ru hua
勉強	mian qiang
糧	liang
加入	jia ru
表演	biao yan
之上	zhi shang
文件	wen jian
估計	gu ji
系統	xi tong
制度	zhi du
方式	fang shi
爭取	zheng qu
問下	wen xia
港女	gang nv
判	pan
結界	jie jie
寒	han
身影	shen ying
冇所謂	mao suo wei
揸住	zha zhu
配合	pei he
無視	wu shi
心跳	xin tiao
聽見	ting jian
好朋友	hao peng you
陰	yin
地址	di zhi
坐監	zuo jian
搵錢	wen qian
有辦法	you ban fa
體驗	ti yan
世	shi
拖住	tuo zhu
女孩	nv hai
幫助	bang zhu
人物	ren wu
得多	de duo
一班	yi ban
人人	ren ren
全世界	quan shi jie
牙刷	ya shua
下個月	xia ge yue
三日	san ri
自我	zi wo
唔係幾	wu xi ji
體	ti
甲蟲	jia chong
年青人	nian qing ren
等到	deng dao
灰	hui
提議	ti yi
心目中	xin mu zhong
心目	xin mu
私人	si ren
薯條	shu tiao
歡喜	huan xi
廢話	fei hua
感覺到	gan jue dao
小雪	xiao xue
笑笑口	xiao xiao kou
服侍	fu shi
軍	jun
同班	tong ban
春	chun
商場	shang chang
華	hua
不嬲	bu niao
不溜	bu liu
犯	fan
維	wei
值	zhi
舉	ju
乖乖	guai guai
廳	ting
無意	wu yi
瘋狂	feng kuang
威	wei
興	xing
解開	jie kai
凍	dong
陽光	yang guang
設計	she ji
微微	wei wei
移民	yi min
精靈	jing ling
現場	xian chang
講我	jiang wo
佳	jia
適合	shi he
選舉	xuan ju
好味	hao wei
立法會	li fa hui
條線	tiao xian
複雜	fu za
表白	biao bai
角色	jiao se
人民	ren min
足球	zu qiu
撐	cheng
根據	gen ju
煲	bao
閃	shan
木	mu
必須	bi xu
點呀	dian ya
單位	dan wei
睇法	di fa
灣	wan
細心	xi xin
工廠	gong chang
減	jian
討厭	tao yan
總算	zong suan
又點	you dian
比起	bi qi
行得	xing de
真相	zhen xiang
下個	xia ge
暑假	shu jia
十六	shi liu
篤	du
眯	mi
州	zhou
白兔	bai tu
半個鐘	ban ge zhong
公共	gong gong
此刻	ci ke
噗	pu
後尾	hou wei
話說	hua shuo
電梯	dian ti
好像	hao xiang
開支	kai zhi
明知	ming zhi
粗口	cu kou
唔怪得	wu guai de
聽晚	ting wan
空	kong
後話	hou hua
估到	gu dao
任	ren
檢查	jian cha
出席	chu xi
集中	ji zhong
公開	gong kai
簽	qian
冷	leng
尖叫	jian jiao
掟	zheng
何人	he ren
好返	hao fan
榮	rong
冇話	mao hua
出奇	chu qi
第一時間	di yi shi jian
退	tui
弱	ruo
愈	yu
千	qian
識到	shi dao
受傷	shou shang
學習	xue xi
蟲	chong
絲	si
千秋	qian qiu
打工	da gong
一夜	yi ye
張開	zhang kai
旺角	wang jiao
底下	di xia
吸	xi
管理	guan li
聰明	cong ming
娃娃	wa wa
隊長	dui zhang
睡	shui
測試	ce shi
唔切	wu qie
爽	shuang
準時	zhun shi
晚晚	wan wan
困難	kun nan
公主	gong zhu
看更	kan geng
一對	yi dui
落車	luo che
遲啲	chi di
一生	yi sheng
良心	liang xin
不同	bu tong
確實	que shi
上車	shang che
壓	ya
去街	qu jie
洲	zhou
畀錢	bi qian
練	lian
未知	wei zhi
摺	zhe
情人	qing ren
錄音	lu yin
屯門	tun men
攬住	lan zhu
待續	dai xu
陰間	yin jian
了	le
乳頭	ru tou
潘	pan
正在	zheng zai
壞咗	huai zuo
隔離	ge li
例子	li zi
勤力	qin li
酒樓	jiu lou
西瓜	xi gua
踹	chuai
之內	zhi nei
恭喜	gong xi
感動	gan dong
一輪	yi lun
下午	xia wu
遺憾	yi han
結束	jie shu
相識	xiang shi
自動	zi dong
任何人	ren he ren
作出	zuo chu
抑或	yi huo
露	lu
加埋	jia mai
話之	hua zhi
金字塔	jin zi ta
市	shi
睬	cai
拗	ao
妮	ni
偷偷	tou tou
峻	jun
申請	shen qing
等待	deng dai
雷	lei
最終	zui zhong
收入	shou ru
你估	ni gu
失業	shi ye
新年	xin nian
一分	yi fen
識做	shi zuo
戒指	jie zhi
犧牲	xi sheng
碰	peng
開會	kai hui
傳出	chuan chu
半夜	ban ye
守護	shou hu
投訴	tou su
低頭	di tou
多少	duo shao
過得	guo de
嘴脣	zui chun
空氣	kong qi
阿姐	a jie
手掌	shou zhang
聚	ju
開學	kai xue
法庭	fa ting
成熟	cheng shu
嗰日	ge ri
好嘈	hao cao
舐	shi
董	dong
走過	zou guo
剝	bo
財政	cai zheng
水喉	shui hou
曳曳	ye ye
咪住	mi zhu
移動	yi dong
批	pi
傳來	chuan lai
向左	xiang zuo
天台	tian tai
阿姨	a yi
承諾	cheng nuo
世伯	shi bo
大衛	da wei
願望	yuan wang
告	gao
順利	shun li
到達	dao da
咖	ka
萍	ping
啤	pi
君子	jun zi
夠鐘	gou zhong
本地	ben di
盛	sheng
有咗	you zuo
橙色	cheng se
起點	qi dian
明星	ming xing
過咗	guo zuo
放假	fang jia
鈴	ling
路上	lu shang
敵人	di ren
用手	yong shou
面紅	mian hong
婚禮	hun li
眼見	yan jian
睇戲	di xi
骷髏	ku lou
箇中	ge zhong
承認	cheng ren
不及	bu ji
得咗	de zuo
法官	fa guan
黐	chi
磅	bang
魚排	yu pai
地位	di wei
拉開	la kai
改革	gai ge
下身	xia shen
網絡	wang luo
蔣	jiang
書生	shu sheng
聽朝	ting chao
匿埋	ni mai
職員	zhi yuan
道德	dao de
足夠	zu gou
唔介意	wu jie yi
星	xing
一向都	yi xiang dou
校	xiao
提醒	ti xing
號碼	hao ma
乜鬼	mie gui
電視機	dian shi ji
白白	bai bai
收聲	shou sheng
魔力	mo li
蘇	su
原	yuan
邊一個	bian yi ge
純	chun
事幹	shi gan
鬥	dou
滑雪	hua xue
打得	da de
剩返	sheng fan
天下	tian xia
各自	ge zi
隨住	sui zhu
鄉下	xiang xia
衣	yi
病人	bing ren
村	cun
平靜	ping jing
提供	ti gong
組織	zu zhi
北京	bei jing
碎	sui
理想	li xiang
屁股	pi gu
寫字	xie zi
點睇	dian di
藥水	yao shui
聖賢	sheng xian
一餐	yi can
公務	gong wu
忽	hu
網球	wang qiu
想話	xiang hua
還有	hai you
啤酒	pi jiu
一早就	yi zao jiu
嘔	ou
婚姻	hun yin
威脅	wei xie
八婆	ba po
深深	shen shen
交代	jiao dai
一行	yi xing
心急	xin ji
呢邊	ne bian
戰士	zhan shi
三代	san dai
口氣	kou qi
詞	ci
希	xi
真實	zhen shi
下去	xia qu
目	mu
鎖	suo
聞言	wen yan
私	si
嘅樣	kai yang
泉	quan
時空	shi kong
薄	bao
途中	tu zhong
學識	xue shi
一代	yi dai
分享	fen xiang
日出	ri chu
可樂	ke le
引起	yin qi
焗	ju
丸	wan
鬚	xu
立場	li chang
弟弟	di di
長大	zhang da
世界上	shi jie shang
插入	cha ru
廣州	guang zhou
接着	jie zhe
力量	li liang
那個	na ge
埋單	mai dan
費事	fei shi
手下	shou xia
技術	ji shu
對象	dui xiang
過來	guo lai
暈	yun
返轉頭	fan zhuan tou
心中	xin zhong
說服	shuo fu
打死	da si
點都好	dian dou hao
在場	zai chang
換衫	huan shan
等如	deng ru
厠	ce
姨媽	yi ma
收線	shou xian
死亡	si wang
寂寞	ji mo
一睇	yi di
茵	yin
怕醜	pa chou
晏	yan
搓	cuo
避	bi
吹水	chui shui
無比	wu bi
民	min
期	qi
成班	cheng ban
醫	yi
心態	xin tai
顯示	xian shi
入屋	ru wu
餓	e
响	xiang
洗頭水	xi tou shui
撻	ta
大樹	da shu
積木	ji mu
大量	da liang
蕹	weng
命運	ming yun
嚿	huo
雙腳	shuang jiao
歌手	ge shou
澄	cheng
時代	shi dai
本土	ben tu
游水	you shui
如何	ru he
買嘢	mai ye
怨	yuan
指示	zhi shi
咁上下	gan shang xia
六十	liu shi
開頭	kai tou
尖	jian
十九	shi jiu
強烈	qiang lie
表面	biao mian
一道	yi dao
一個鐘	yi ge zhong
淚	lei
清醒	qing xing
二百	er bai
大事	da shi
因此	yin ci
親人	qin ren
醫療	yi liao
透明	tou ming
第時	di shi
人面	ren mian
公務員	gong wu yuan
秩序	zhi xu
聖誕老人	sheng dan lao ren
唔定	wu ding
北方	bei fang
事發	shi fa
無用	wu yong
不知不覺	bu zhi bu jue
坦白	tan bai
夫妻	fu qi
加快	jia kuai
有排	you pai
殭屍	jiang shi
古怪	gu guai
跟蹤	gen zong
隱約	yin yue
一入	yi ru
鳳	feng
泳衣	yong yi
吐	tu
總會	zong hui
沽	gu
類似	lei shi
洪	hong
因住	yin zhu
斜	xie
小說	xiao shuo
擁	yong
燕	yan
舉起	ju qi
截	jie
小弟	xiao di
孫	sun
理論	li lun
男女	nan nv
標準	biao zhun
肥仔	fei zai
睇見	di jian
洗手間	xi shou jian
會考	hui kao
今天	jin tian
借錢	jie qian
命令	ming ling
搵工	wen gong
精	jing
撈	lao
魂	hun
洗手	xi shou
睇電視	di dian shi
下體	xia ti
太大	tai da
背影	bei ying
浮現	fu xian
提起	ti qi
冰	bing
見得	jian de
制	zhi
唔成	wu cheng
縮	suo
鐵	tie
成晚	cheng wan
一般人	yi ban ren
扁	bian
大都	da dou
左上	zuo shang
軟	ruan
難受	nan shou
彎	wan
有份	you fen
羹	geng
小明	xiao ming
人權	ren quan
乜事	mie shi
走人	zou ren
初戀	chu lian
未婚夫	wei hun fu
回到	hui dao
向右	xiang you
完結	wan jie
內疚	nei jiu
發夢	fa meng
論	lun
珍惜	zhen xi
立	li
誇張	kua zhang
大件	da jian
巷	xiang
窗口	chuang kou
浸	jin
純粹	chun cui
人口	ren kou
蠢	chun
做事	zuo shi
電芯	dian xin
咔	ka
結局	jie ju
三次	san ci
撫摸	fu mo
最高	zui gao
民族	min zu
大腦	da nao
嗰種	ge zhong
好正	hao zheng
無力	wu li
成長	cheng zhang
跳舞	tiao wu
付出	fu chu
聽聞	ting wen
靠近	kao jin
即管	ji guan
憑	ping
心靈	xin ling
日後	ri hou
果真	guo zhen
打招呼	da zhao hu
順手	shun shou
搞笑	gao xiao
天地	tian di
淋	lin
由細到大	you xi dao da
鑽	zuan
唔該晒	wu gai shai
彭	peng
未曾	wei ceng
黑暗	hei an
我人	wo ren
靈魂	ling hun
伯母	bo mu
喜	xi
大笑	da xiao
時光	shi guang
芹	qin
想法	xiang fa
虐待	nue dai
釣	diao
容	rong
害	hai
選	xuan
魔鬼	mo gui
專	zhuan
擰頭	ning tou
見狀	jian zhuang
料	liao
閱	yue
暴力	bao li
總統	zong tong
老嘢	lao ye
超過	chao guo
成就	cheng jiu
二哥	er ge
成身	cheng shen
卒	zu
嫌	xian
心臟	xin zang
傻妹	sha mei
紀錄	ji lu
出事	chu shi
部門	bu men
唔捨得	wu she de
產生	chan sheng
天空	tian kong
小時	xiao shi
人間	ren jian
三百	san bai
按摩	an mo
行路	xing lu
大鑊	da huo
星期一	xing qi yi
人身	ren shen
地盤	di pan
笑話	xiao hua
蝴蝶	hu die
一度	yi du
朝頭早	chao tou zao
學人	xue ren
滑梯	hua ti
保安	bao an
世人	shi ren
親自	qin zi
精液	jing ye
巴閉	ba bi
外表	wai biao
在乎	zai hu
講咗	jiang zuo
過後	guo hou
不屑	bu xie
然而	ran er
埋位	mai wei
收工	shou gong
侮辱	wu ru
額頭	e tou
吋	cun
溝	gou
購	gou
膠	jiao
月光	yue guang
風車	feng che
校車	xiao che
候	hou
尺	chi
趟	tang
無法	wu fa
畸	ji
報仇	bao chou
主席	zhu xi
年輕	nian qing
盞	zhan
快速	kuai su
學家	xue jia
造成	zao cheng
分之	fen zhi
填	tian
越來越	yue lai yue
賠	pei
淡	dan
出入	chu ru
大隻	da zhi
泥	ni
訂	ding
保險	bao xian
平衡	ping heng
要人	yao ren
檸檬	ning meng
實際上	shi ji shang
預備	yu bei
階段	jie duan
獅子	shi zi
出自	chu zi
難以	nan yi
計數	ji shu
並無	bing wu
並冇	bing mao
嘥	sai
樣嘢	yang ye
舊年	jiu nian
事實上	shi shi shang
安心	an xin
出到	chu dao
傳說	chuan shuo
衣櫃	yi gui
好事	hao shi
加油	jia you
嚇嚫	xia chen
樹葉	shu ye
飲醉	yin zui
橫𠶧	heng dian
達	da
另一邊	ling yi bian
打手	da shou
逃走	tao zou
再一次	zai yi ci
高手	gao shou
慌	huang
繩	sheng
模糊	mo hu
訊	xun
笪	da
視覺	shi jue
別	bie
代	dai
得過	de guo
重點	zhong dian
梨	li
交流	jiao liu
鄧	deng
肌肉	ji rou
文學	wen xue
總有	zong you
邪	xie
產品	chan pin
特首	te shou
紫色	zi se
趙	zhao
部落	bu luo
作品	zuo pin
慾	yu
阿爺	a ye
會長	hui zhang
變化	bian hua
確定	que ding
好叻	hao le
洞	dong
合格	he ge
假設	jia she
下下	xia xia
慶祝	qing zhu
今時今日	jin shi jin ri
增加	zeng jia
人心	ren xin
鼓勵	gu li
戲院	xi yuan
形式	xing shi
男性	nan xing
五千	wu qian
犯法	fan fa
週	zhou
是但	shi dan
傳媒	chuan mei
幾歲	ji sui
鼻涕	bi ti
歡樂	huan le
大多	da duo
黏	nian
阿伯	a bo
繼	ji
鬆開	song kai
前進	qian jin
有興趣	you xing qu
下手	xia shou
退後	tui hou
容許	rong xu
心意	xin yi
話晒	hua shai
靚妹	jing mei
安樂	an le
哭	ku
唔好嘈	wu hao cao
箭	jian
早已	zao yi
廣場	guang chang
主意	zhu yi
之餘	zhi yu
預算	yu suan
承受	cheng shou
天光	tian guang
不滿	bu man
當晚	dang wan
邊位	bian wei
頁	ye
神情	shen qing
堅	jian
母	mu
研	yan
苦笑	ku xiao
戇	zhuang
透	tou
願	yuan
威廉	wei lian
社	she
一塊	yi kuai
閒	xian
網	wang
平日	ping ri
呼	hu
寵物	chong wu
老實講	lao shi jiang
正面	zheng mian
吖嗱	ya na
蘭	lan
通話	tong hua
布	bu
旗	qi
等於	deng yu
大堂	da tang
叫醒	jiao xing
在於	zai yu
內褲	nei ku
多咗	duo zuo
拋	pao
天真	tian zhen
進步	jin bu
巨大	ju da
手提電話	shou ti dian hua
幾下	ji xia
更多	geng duo
控	kong
宣傳	xuan chuan
體力	ti li
盡頭	jin tou
處於	chu yu
和平	he ping
余	yu
好貴	hao gui
粗	cu
同情	tong qing
發揮	fa hui
每晚	mei wan
限制	xian zhi
停低	ting di
玩完	wan wan
噏	xi
成年	cheng nian
賺錢	zhuan qian
硬係	ying xi
嘴角	zui jiao
公婆	gong po
曚	meng
全家	quan jia
揮	hui
快感	kuai gan
規矩	gui ju
眼中	yan zhong
請人	qing ren
獎	jiang
士兵	shi bing
練習	lian xi
行山	xing shan
羞	xiu
人事	ren shi
欲	yu
聯網	lian wang
超級	chao ji
嗲	die
失禮	shi li
倫敦	lun dun
難過	nan guo
逃避	tao bi
長相	zhang xiang
論盡	lun jin
拳	quan
畀個	bi ge
大波	da bo
爆炸	bao zha
早排	zao pai
公平	gong ping
扮到	ban dao
順	shun
都好啦	dou hao la
葉	ye
累	lei
私營	si ying
舅父	jiu fu
洗衣機	xi yi ji
接住	jie zhu
追問	zhui wen
足足	zu zu
日文	ri wen
追求	zhui qiu
箱	xiang
腳趾	jiao zhi
拯救	zheng jiu
凌晨	ling chen
合照	he zhao
𦧷	lian
舔	tian
賤	jian
忘	wang
東西	dong xi
正確	zheng que
風景	feng jing
實驗	shi yan
聯	lian
斟	zhen
